cluster,latitude,longitude
446,28.65001032258065,-81.5505857096774
433,28.726011130044842,-81.56735929147983
373,28.41956670212766,-81.65388224468084
141,28.348643303030304,-81.32435793939395
300,28.350369244680856,-81.24150732978723
197,28.43239999999999,-81.63770000000002
456,28.744955719745224,-81.56317069426753
445,28.750480522012584,-81.57863798742139
439,28.615845042372882,-81.52333313559322
244,28.44261392982456,-81.61130794736843
419,28.60539193650794,-81.54024417460317
286,28.355861046875,-81.23686674999999
460,28.661933457943928,-81.53784011214954
402,28.774769444915258,-81.60823049152543
461,28.67157698571428,-81.53136486190478
330,28.392633936363634,-81.63495271818181
495,28.556708261538464,-81.64624538461538
157,28.365747825174825,-81.61803402797202
449,28.68318001315789,-81.52267353947367
424,28.408191559485527,-81.65037110932477
163,28.437215575,-81.58834515
37,28.43100776190476,-81.23185764285715
162,28.465534466165415,-81.64286909022559
440,28.654267844660193,-81.52038394174757
200,28.439610285714288,-81.64236553968257
394,28.43653746391753,-81.21876973195877
474,28.5579137398374,-81.61680798373983
152,28.480642947368423,-81.62607414035088
428,28.588755192307694,-81.51249538461539
47,28.467418566666666,-81.24745056666667
375,28.355723751152073,-81.24233148387097
38,28.487255530864196,-81.23373991358027
113,28.36598242553191,-81.32388727659574
9,28.506396727272726,-81.07529949999999
401,28.71609569333333,-81.51244366666666
72,28.586547401459857,-81.4212047810219
134,28.390498666666666,-81.3370332898551
299,28.377517984251966,-81.26689496850396
153,28.464690723076917,-81.65277363076923
406,28.728089120481926,-81.52754246987952
455,28.740860047244094,-81.57391584251971
423,28.400239868421057,-81.64733315789475
438,28.625253838709675,-81.53512088172043
78,28.446120430107523,-81.22194243010752
171,28.36216888461538,-81.62460376923076
25,28.56784378571428,-81.45873674999999
429,28.59739391836735,-81.51617232653062
147,28.369641,-81.27025999999998
417,28.741830635514017,-81.62076836448598
418,28.755384359550558,-81.61988486516854
42,28.43144566666667,-81.20478980952382
172,28.365946028368793,-81.6294605106383
462,28.68176356862745,-81.55537478431373
430,28.619104500000002,-81.50386845967742
215,28.519988990990992,-81.64635436036038
378,28.378327149999997,-81.64956124000003
432,28.760876989999996,-81.54818997000001
476,28.37141940776699,-81.65455453398057
142,28.352331386075946,-81.31532216455697
390,28.642768687500002,-81.49464959375001
392,28.36796783050848,-81.63674291525423
431,28.763935918918918,-81.56261594594594
194,28.360800793650792,-81.22594785714287
280,28.472569212121215,-81.2427123939394
457,28.596500391304353,-81.56365708695651
281,28.471665225,-81.24370834999999
145,28.399075804054053,-81.34104491216216
144,28.39411840425532,-81.34084157446809
198,28.4294,-81.637
397,28.404969126050414,-81.64102631932772
395,28.4346780754717,-81.21228883018868
225,28.442202248062014,-81.21922075193798
48,28.46773462222222,-81.24251053333334
168,28.371022708333335,-81.63081069444445
270,28.422299250000002,-81.63066337500001
291,28.41020808695652,-81.63441852173914
